class_index,cutoff_freq_Hz
9,500.0
9,504.54
9,509.08
9,513.62
9,518.16
9,522.7
9,527.24
9,531.78
9,536.32
9,540.86
9,545.4
9,549.94
9,554.48
9,559.02
9,563.56
9,568.1
9,572.64
9,577.18
9,581.72
9,586.26
9,590.8
9,595.34
9,599.88
9,604.42
9,608.96
9,613.5
9,618.04
9,622.58
9,627.12
9,631.66
9,636.2
9,640.74
9,645.28
9,649.82
9,654.36
9,658.9
9,663.44
9,667.98
9,672.52
9,677.06
9,681.6
9,686.14
9,690.68
9,695.22
9,699.76
9,704.3
9,708.84
9,713.38
9,717.92
9,722.46
9,727.0
9,731.54
9,736.08
9,740.62
9,745.16
9,749.7
9,754.24
9,758.78
9,763.32
9,767.86
9,772.4
9,776.94
9,781.48
9,786.02
9,790.56
9,795.1
9,799.64
9,804.18
9,808.72
9,813.26
9,817.8
9,822.34
9,826.88
9,831.42
9,835.96
9,840.5
9,845.04
9,849.58
9,854.12
9,858.66
9,863.2
9,867.74
9,872.28
9,876.82
9,881.36
9,885.9
9,890.44
9,894.98
9,899.52
9,904.06
9,908.6
9,913.14
9,917.68
9,922.22
9,926.76
9,931.3
9,935.84
9,940.38
9,944.92
9,949.46
9,954.0
9,958.54
9,963.08
9,967.62
9,972.15
9,976.69
9,981.23
9,985.77
9,990.31
9,994.85
9,999.39
9,1003.93
9,1008.47
9,1013.01
9,1017.55
9,1022.09
9,1026.63
9,1031.17
9,1035.71
9,1040.25
9,1044.79
9,1049.33
9,1053.87
9,1058.41
9,1062.95
9,1067.49
9,1072.03
9,1076.57
9,1081.11
9,1085.65
9,1090.19
9,1094.73
9,1099.27
9,1103.81
9,1108.35
9,1112.89
9,1117.43
9,1121.97
9,1126.51
9,1131.05
9,1135.59
9,1140.13
9,1144.67
9,1149.21
9,1153.75
9,1158.29
9,1162.83
9,1167.37
9,1171.91
9,1176.45
9,1180.99
9,1185.53
9,1190.07
9,1194.61
9,1199.15
9,1203.69
9,1208.23
9,1212.77
9,1217.31
9,1221.85
9,1226.39
9,1230.93
9,1235.47
9,1240.01
9,1244.55
9,1249.09
9,1253.63
9,1258.17
9,1262.71
9,1267.25
9,1271.79
9,1276.33
9,1280.87
9,1285.41
9,1289.95
9,1294.49
9,1299.03
9,1303.57
9,1308.11
9,1312.65
9,1317.19
9,1321.73
9,1326.27
9,1330.81
9,1335.35
9,1339.89
9,1344.43
9,1348.97
9,1353.51
9,1358.05
9,1362.59
9,1367.13
9,1371.67
9,1376.21
9,1380.75
9,1385.29
9,1389.83
9,1394.37
9,1398.91
9,1403.45
9,1407.99
9,1412.53
9,1417.07
9,1421.61
9,1426.15
9,1430.69
9,1435.23
9,1439.77
9,1444.31
9,1448.85
9,1453.39
9,1457.93
9,1462.47
9,1467.01
9,1471.55
9,1476.09
9,1480.63
9,1485.17
9,1489.71
9,1494.25
9,1498.79
9,1503.33
9,1507.87
9,1512.41
9,1516.95
9,1521.49
9,1526.03
9,1530.57
9,1535.11
9,1539.65
9,1544.19
9,1548.73
9,1553.27
9,1557.81
9,1562.35
9,1566.89
9,1571.43
9,1575.97
9,1580.51
9,1585.05
9,1589.59
9,1594.13
9,1598.67
9,1603.21
9,1607.75
9,1612.29
9,1616.83
9,1621.37
9,1625.91
9,1630.45
9,1634.99
9,1639.53
9,1644.07
9,1648.61
9,1653.15
9,1657.69
9,1662.23
9,1666.77
9,1671.31
9,1675.85
9,1680.39
9,1684.93
9,1689.47
9,1694.01
9,1698.55
9,1703.09
9,1707.63
9,1712.17
9,1716.71
9,1721.25
9,1725.79
9,1730.33
9,1734.87
9,1739.41
9,1743.95
9,1748.49
9,1753.03
9,1757.57
9,1762.11
9,1766.65
9,1771.19
9,1775.73
9,1780.27
9,1784.81
9,1789.35
9,1793.89
9,1798.43
9,1802.97
9,1807.51
9,1812.05
9,1816.59
9,1821.13
9,1825.67
9,1830.21
9,1834.75
9,1839.29
9,1843.83
9,1848.37
9,1852.91
9,1857.45
9,1861.99
9,1866.53
9,1871.07
9,1875.61
9,1880.15
9,1884.69
9,1889.23
9,1893.77
9,1898.31
9,1902.85
9,1907.38
9,1911.92
9,1916.46
9,1921.0
9,1925.54
9,1930.08
9,1934.62
9,1939.16
9,1943.7
9,1948.24
9,1952.78
9,1957.32
9,1961.86
9,1966.4
9,1970.94
9,1975.48
9,1980.02
9,1984.56
9,1989.1
9,1993.64
9,1998.18
9,2002.72
9,2007.26
9,2011.8
9,2016.34
9,2020.88
9,2025.42
9,2029.96
9,2034.5
9,2039.04
9,2043.58
9,2048.12
9,2052.66
9,2057.2
9,2061.74
9,2066.28
9,2070.82
9,2075.36
9,2079.9
9,2084.44
9,2088.98
9,2093.52
9,2098.06
9,2102.6
9,2107.14
9,2111.68
9,2116.22
9,2120.76
9,2125.3
9,2129.84
9,2134.38
9,2138.92
9,2143.46
9,2148.0
9,2152.54
9,2157.08
9,2161.62
9,2166.16
9,2170.7
9,2175.24
9,2179.78
9,2184.32
9,2188.86
9,2193.4
9,2197.94
9,2202.48
9,2207.02
9,2211.56
9,2216.1
9,2220.64
9,2225.18
9,2229.72
9,2234.26
9,2238.8
9,2243.34
9,2247.88
9,2252.42
9,2256.96
9,2261.5
9,2266.04
9,2270.58
9,2275.12
9,2279.66
9,2284.2
9,2288.74
9,2293.28
9,2297.82
9,2302.36
9,2306.9
9,2311.44
9,2315.98
9,2320.52
9,2325.06
9,2329.6
9,2334.14
9,2338.68
9,2343.22
9,2347.76
9,2352.3
9,2356.84
9,2361.38
9,2365.92
9,2370.46
9,2375.0
9,2379.54
9,2384.08
9,2388.62
9,2393.16
9,2397.7
9,2402.24
9,2406.78
9,2411.32
9,2415.86
9,2420.4
9,2424.94
9,2429.48
9,2434.02
9,2438.56
9,2443.1
9,2447.64
9,2452.18
9,2456.72
9,2461.26
9,2465.8
9,2470.34
9,2474.88
9,2479.42
9,2483.96
9,2488.5
9,2493.04
9,2497.58
9,2502.12
9,2506.66
9,2511.2
9,2515.74
9,2520.28
9,2524.82
9,2529.36
9,2533.9
9,2538.44
9,2542.98
9,2547.52
9,2552.06
9,2556.6
9,2561.14
9,2565.68
9,2570.22
9,2574.76
9,2579.3
9,2583.84
9,2588.38
9,2592.92
9,2597.46
9,2602.0
9,2606.54
9,2611.08
9,2615.62
9,2620.16
9,2624.7
9,2629.24
9,2633.78
9,2638.32
9,2642.86
9,2647.4
9,2651.94
9,2656.48
9,2661.02
9,2665.56
9,2670.1
9,2674.64
9,2679.18
9,2683.72
9,2688.26
9,2692.8
9,2697.34
9,2701.88
9,2706.42
9,2710.96
9,2715.5
9,2720.04
9,2724.58
9,2729.12
9,2733.66
9,2738.2
9,2742.74
9,2747.28
9,2751.82
9,2756.36
9,2760.9
9,2765.44
9,2769.98
9,2774.52
9,2779.06
9,2783.6
9,2788.14
9,2792.68
9,2797.22
9,2801.76
9,2806.3
9,2810.84
9,2815.38
9,2819.92
9,2824.46
9,2829.0
9,2833.54
9,2838.08
9,2842.62
9,2847.15
9,2851.69
9,2856.23
9,2860.77
9,2865.31
9,2869.85
9,2874.39
9,2878.93
9,2883.47
9,2888.01
9,2892.55
9,2897.09
9,2901.63
9,2906.17
9,2910.71
9,2915.25
9,2919.79
9,2924.33
9,2928.87
9,2933.41
9,2937.95
9,2942.49
9,2947.03
9,2951.57
9,2956.11
9,2960.65
9,2965.19
9,2969.73
9,2974.27
9,2978.81
9,2983.35
9,2987.89
9,2992.43
9,2996.97
9,3001.51
9,3006.05
9,3010.59
9,3015.13
9,3019.67
9,3024.21
9,3028.75
9,3033.29
9,3037.83
9,3042.37
9,3046.91
9,3051.45
9,3055.99
9,3060.53
9,3065.07
9,3069.61
9,3074.15
9,3078.69
9,3083.23
9,3087.77
9,3092.31
9,3096.85
9,3101.39
9,3105.93
9,3110.47
9,3115.01
9,3119.55
9,3124.09
9,3128.63
9,3133.17
9,3137.71
9,3142.25
9,3146.79
9,3151.33
9,3155.87
9,3160.41
9,3164.95
9,3169.49
9,3174.03
9,3178.57
9,3183.11
9,3187.65
9,3192.19
9,3196.73
9,3201.27
9,3205.81
9,3210.35
9,3214.89
9,3219.43
9,3223.97
9,3228.51
9,3233.05
9,3237.59
9,3242.13
9,3246.67
9,3251.21
9,3255.75
9,3260.29
9,3264.83
9,3269.37
9,3273.91
9,3278.45
9,3282.99
9,3287.53
9,3292.07
9,3296.61
9,3301.15
9,3305.69
9,3310.23
9,3314.77
9,3319.31
9,3323.85
9,3328.39
9,3332.93
9,3337.47
9,3342.01
9,3346.55
9,3351.09
9,3355.63
9,3360.17
9,3364.71
9,3369.25
9,3373.79
9,3378.33
9,3382.87
9,3387.41
9,3391.95
9,3396.49
9,3401.03
9,3405.57
9,3410.11
9,3414.65
9,3419.19
9,3423.73
9,3428.27
9,3432.81
9,3437.35
9,3441.89
9,3446.43
9,3450.97
9,3455.51
9,3460.05
9,3464.59
9,3469.13
9,3473.67
9,3478.21
9,3482.75
9,3487.29
9,3491.83
9,3496.37
9,3500.91
9,3505.45
9,3509.99
9,3514.53
9,3519.07
9,3523.61
9,3528.15
9,3532.69
9,3537.23
9,3541.77
9,3546.31
9,3550.85
9,3555.39
9,3559.93
9,3564.47
9,3569.01
9,3573.55
9,3578.09
9,3582.63
9,3587.17
9,3591.71
9,3596.25
9,3600.79
9,3605.33
9,3609.87
9,3614.41
9,3618.95
9,3623.49
9,3628.03
9,3632.57
9,3637.11
9,3641.65
9,3646.19
9,3650.73
9,3655.27
9,3659.81
9,3664.35
9,3668.89
9,3673.43
9,3677.97
9,3682.51
9,3687.05
9,3691.59
9,3696.13
9,3700.67
9,3705.21
9,3709.75
9,3714.29
9,3718.83
9,3723.37
9,3727.91
9,3732.45
9,3736.99
9,3741.53
9,3746.07
9,3750.61
9,3755.15
9,3759.69
9,3764.23
9,3768.77
9,3773.31
9,3777.85
9,3782.38
9,3786.92
9,3791.46
9,3796.0
9,3800.54
9,3805.08
9,3809.62
9,3814.16
9,3818.7
9,3823.24
9,3827.78
9,3832.32
9,3836.86
9,3841.4
9,3845.94
